path,lines,status,explored
Barotrauma/BarotraumaClient/ClientSource/Items/Item.cs,2571,done,2571
Barotrauma/BarotraumaClient/ClientSource/Items/ItemEventData.cs,35,new,0
Barotrauma/BarotraumaClient/ClientSource/Items/ItemInventory.cs,94,done,94
Barotrauma/BarotraumaClient/ClientSource/Items/ItemPrefab.cs,432,done,432
Barotrauma/BarotraumaClient/ClientSource/Map/Creatures/BallastFloraBehavior.cs,408,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/Explosion.cs,157,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/FireSource.cs,65,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/Gap.cs,371,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/Hull.cs,852,partial,117
Barotrauma/BarotraumaClient/ClientSource/Map/ItemAssemblyPrefab.cs,119,done,119
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/BackgroundCreatures/BackgroundCreature.cs,431,done,431
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/BackgroundCreatures/BackgroundCreatureManager.cs,130,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/BackgroundCreatures/BackgroundCreaturePrefab.cs,177,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/CaveGenerator.cs,273,done,273
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/DestructibleLevelWall.cs,66,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/Level.cs,184,done,184
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/LevelGenerationParameters.cs,74,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/LevelObjects/LevelObject.cs,342,done,342
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/LevelObjects/LevelObjectManager.cs,354,done,354
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/LevelObjects/LevelObjectPrefab.cs,200,done,200
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/LevelObjects/LevelTrigger.cs,19,new,0
Barotrauma/BarotraumaClient/ClientSource/Map/Levels/LevelRenderer.cs,515,done,515
